Model,Pearson's R,Spearman's ρ,RMSE,MAE,AUROC
ProteinMPNN,0.18085995541311173,0.17163065439125433,1.6173443635971283,1.2060764062773686,0.6388621022179364
ProteinMPNN +CIR-DDG,0.28193535973842754,0.30124625775945796,1.5777531541073226,1.173343828545682,0.6960985213757636
ESM-IF,0.04829872452153823,0.1186843305108035,1.6446673936292322,1.2122869716408158,0.6397966594045025
ESM-IF +CIR-DDG,0.10604696058826038,0.18576392947567497,1.6373041552583558,1.2061201885915107,0.6621883321229727
RDE-Network,0.5215365154303123,0.36214983209950397,1.403103834181178,1.0850022113494695,0.6886853101896495
RDE-Network +CIR-DDG,0.5601280726670069,0.4643749753964485,1.362283420377023,1.0494510907715342,0.7229789456766313
DiffAffinity,0.5544830339403751,0.43891428711580227,1.368514297763892,1.0456584161643532,0.7376446480231436
DiffAffinity +CIR-DDG,0.5868329770704868,0.5097565002346804,1.3315352138766987,0.9975898816820491,0.7611499517839921
DDAffinity,0.5015428832364323,0.3450571232211596,1.4226792356920464,1.0930391725305606,0.6712070073931213
DDAffinity +CIR-DDG,0.5277398466822407,0.38845124544301884,1.3968172103213647,1.068719148330259,0.690553680488589
Vanilla Pythia-PPI,0.5946021763896752,0.4699381403870725,1.322181589668514,0.9964095020204954,0.7525313404050145
Vanilla Pythia-PPI +CIR-DDG,0.6096055182687499,0.5044985988189579,1.3035742834881363,0.9755453983933109,0.7638621022179364
