Model,Mutation,Pearson's R,Spearman's ρ,RMSE,MAE,AUROC
ProteinMPNN,all,0.22604444123886058,0.233225529909218,1.964319903372034,1.433651907555255,0.6066624596198633
ProteinMPNN,single,0.2736161799558723,0.2525301571508143,1.5623474474439036,1.1482509568421408,0.6118001146249608
ProteinMPNN,multi,0.2381588188530684,0.2524208029751552,2.6586220685740947,2.0139555355176793,0.5942769707436001
ProteinMPNN +CIR-DDG,all,0.23383137188485995,0.2444530140998164,1.9606098754164594,1.4295994703559527,0.6117017504319736
ProteinMPNN +CIR-DDG,single,0.28604801483811887,0.2684429649281492,1.5564613897417605,1.1432847882074506,0.6181072804725318
ProteinMPNN +CIR-DDG,multi,0.2381588181401964,0.2524208029751552,2.6586220690526083,2.013955535331683,0.5942769707436001
ESM-IF,all,0.23498580910168465,0.25466325953269964,1.9833401477641102,1.4229693989617096,0.611336144947479
ESM-IF,single,0.2830462772628122,0.2712210576647596,1.6029461131724154,1.1386613798337832,0.6149007040131271
ESM-IF,multi,0.26491972031793626,0.28450211221112925,2.631984837419945,1.9968187509887332,0.6049897929039739
ESM-IF +CIR-DDG,all,0.23879368715985144,0.2603414895832325,1.981445613270254,1.4208351524879053,0.6135319929634532
ESM-IF +CIR-DDG,single,0.28891964374644646,0.27912224327085977,1.600016503339597,1.135929319350894,0.6174310623389485
ESM-IF +CIR-DDG,multi,0.2649197227961311,0.28450240752930933,2.631984835561561,1.996818749699571,0.6049908951821624
RDE-Network,all,0.6853935145577388,0.5457771503291708,1.5049493292494136,1.0811698771094023,0.7217834596689285
RDE-Network,single,0.6746974225540502,0.5133678226017584,1.2837272006699267,0.9125610484728506,0.7090784010377104
RDE-Network,multi,0.6794539577933614,0.5920011517524563,1.9797459917149325,1.5328685436776777,0.7632242370632465
RDE-Network +CIR-DDG,all,0.6863647015981387,0.5521426595722095,1.5030575241441655,1.0804713180838368,0.7237739808216472
RDE-Network +CIR-DDG,single,0.6771889618573974,0.5232972453995561,1.2797525434803962,0.9112950363723612,0.7121896736660926
RDE-Network +CIR-DDG,multi,0.6794539577933614,0.5920011517524563,1.9797459917149325,1.5328685436776777,0.7632242370632465
DiffAffinity,all,0.6853326794177723,0.5451471082776869,1.50366381017989,1.085468370331899,0.7334842777279387
DiffAffinity,single,0.6839990454047855,0.5206227361177865,1.267758624152205,0.9101007005873013,0.7243724954334385
DiffAffinity,multi,0.669545764051688,0.5803313319522652,2.0020282833915743,1.5507311272407474,0.7677416985687661
DiffAffinity +CIR-DDG,all,0.6864085425570468,0.5497206361991448,1.5015701068350837,1.0828349750718984,0.7352027671282375
DiffAffinity +CIR-DDG,single,0.6864551862248165,0.5274494411434231,1.2637427273207718,0.9066006458149168,0.7269222905027661
DiffAffinity +CIR-DDG,multi,0.669545764051688,0.5803313319522652,2.0020282833915743,1.5507311272407474,0.7677416985687661
DDAffinity,all,0.6593488158562588,0.5090871040372528,1.5538574676881853,1.14728625316806,0.7182334889849511
DDAffinity,single,0.6541705405761402,0.4847472723286094,1.3154730324141037,0.9642469249535227,0.7055061357270063
DDAffinity,multi,0.6643823242573432,0.5638957206604251,2.0166436905155614,1.580230811798543,0.7541132242370633
DDAffinity +CIR-DDG,all,0.6600276105337354,0.5116706711243988,1.5526260288016625,1.1457897231351286,0.7193169471828248
DDAffinity +CIR-DDG,single,0.6558533249195871,0.4883386648808665,1.3129359395721085,0.9624452937499351,0.707061282924293
DDAffinity +CIR-DDG,multi,0.6643823242573432,0.5638957206604251,2.0166436905155614,1.580230811798543,0.7541132242370633
Vanilla Pythia-PPI,all,0.5784997483994787,0.5388687362073225,1.683967913285103,1.1751832100639057,0.7427416143062248
Vanilla Pythia-PPI,single,0.6888933583113954,0.5545217406500627,1.2607139861152339,0.8909289196181863,0.7392163173312216
Vanilla Pythia-PPI,multi,0.5535049047085304,0.5604246219692132,2.24092572724429,1.6757305646568434,0.756778782041784
Vanilla Pythia-PPI +CIR-DDG,all,0.5791762483564902,0.5406389151724418,1.6829765242266246,1.1736560744006508,0.7432549597083703
Vanilla Pythia-PPI +CIR-DDG,single,0.6902795047538168,0.5571455119815047,1.258418374242457,0.8891695607234092,0.740286994234779
Vanilla Pythia-PPI +CIR-DDG,multi,0.553504902244337,0.5604246219692132,2.2409257316507962,1.6757305682767214,0.756778782041784
