Model,Mutation,Pearson's R,Spearman's ρ,RMSE,MAE,AUROC
ProteinMPNN,all,0.19878832334212881,0.1947633097679558,1.1806615472313002,0.9449631665274747,0.6247350310300125
ProteinMPNN,single,0.241609624403781,0.2295207481502403,1.0591445705848073,0.8348284168519652,0.6225781188310492
ProteinMPNN,multi,0.22358924069545139,0.17298744086103857,1.4089745350612863,1.1622685010480733,0.6673372149620713
ProteinMPNN +CIR-DDG,all,0.20515573730263933,0.20264794258731558,1.1783632985480796,0.9420616443466335,0.6334307071655413
ProteinMPNN +CIR-DDG,single,0.2520705452846955,0.24159245414095357,1.055424575304816,0.8310917403277797,0.6300755795724053
ProteinMPNN +CIR-DDG,multi,0.22358924044500034,0.17298744086103857,1.4089745347999567,1.1622685003897897,0.6673372149620713
ESM-IF,all,0.21693521580691974,0.2008150845576816,1.143125407719268,0.9128584515083636,0.6256348315211552
ESM-IF,single,0.24783047626077045,0.2222751553111964,1.027563367746548,0.8151734167731854,0.6165088546946668
ESM-IF,multi,0.24374442038552765,0.20317967590793196,1.3806480101872094,1.1356754321210891,0.693014829306753
ESM-IF +CIR-DDG,all,0.218519144773972,0.20336315504822622,1.144152562137018,0.9121913089745582,0.6254006502244996
ESM-IF +CIR-DDG,single,0.2513747739960105,0.2295916129083255,1.0289055951853818,0.8143877495203031,0.6168533948574183
ESM-IF +CIR-DDG,multi,0.2437444191568053,0.20331851091341954,1.3806480099754934,1.1356754312236808,0.693110614747366
RDE-Network,all,0.4501217124974455,0.4198161676400484,0.9614640224657705,0.758571647658387,0.6818143401791312
RDE-Network,single,0.4572014538074801,0.4241652724977456,0.8895190094529913,0.6949741625269757,0.6668814594075031
RDE-Network,multi,0.3877286971660954,0.36338685509516006,1.114364054388238,0.9074130559830084,0.7406961926702142
RDE-Network +CIR-DDG,all,0.4513586069714002,0.42153204213404566,0.9619015841732863,0.759732678744299,0.6841545070875994
RDE-Network +CIR-DDG,single,0.456063497108822,0.42313126639776416,0.8900779275106052,0.6945111863303501,0.6659103320776418
RDE-Network +CIR-DDG,multi,0.3877286971660954,0.36338685509516006,1.114364054388238,0.9074130559830084,0.7406961926702142
DiffAffinity,all,0.42711120705426076,0.39157515918345825,0.968893488351261,0.7626780740049468,0.684019306200414
DiffAffinity,single,0.4371740512331315,0.405223555132329,0.8936163648960626,0.6984429676242061,0.6830166359502664
DiffAffinity,multi,0.38405786700449485,0.36378888564499606,1.1128737597828013,0.903052804464362,0.7281690181634634
DiffAffinity +CIR-DDG,all,0.4257822839951171,0.3915748375841626,0.9700824396804357,0.7642618606216864,0.6846805153871584
DiffAffinity +CIR-DDG,single,0.4367512752386986,0.40429346140743677,0.8947042699298718,0.7002644816949999,0.6803484783791156
DiffAffinity +CIR-DDG,multi,0.3840578670044948,0.36378888564499606,1.1128737597828013,0.9030528044643621,0.7281690181634634
DDAffinity,all,0.4051558886327091,0.37293103668473837,0.9949282011081767,0.7781335239592192,0.6410192212130282
DDAffinity,single,0.3935833568368026,0.36129473252128097,0.92263832119793,0.716430506672019,0.637064825694016
DDAffinity,multi,0.3650669397914546,0.3375704874243492,1.1549655635611131,0.9213315609765188,0.6676888333817208
DDAffinity +CIR-DDG,all,0.4050688559984233,0.37332074969518664,0.9949588422529666,0.7786209323150203,0.6437429524088623
DDAffinity +CIR-DDG,single,0.3947048249059409,0.3626965256874117,0.9223609949608976,0.7171356018260117,0.6391873697900484
DDAffinity +CIR-DDG,multi,0.3650669397914546,0.3375704874243492,1.1549655635611131,0.9213315609765188,0.6676888333817208
Vanilla Pythia-PPI,all,0.40398408996186747,0.37574881410257743,1.0250051514762317,0.8028786623487754,0.6882367530640594
Vanilla Pythia-PPI,single,0.47663289980576307,0.43604704045003345,0.8769049046295141,0.6745293559607531,0.68649068370686
Vanilla Pythia-PPI,multi,0.35933402918909096,0.3377920925637435,1.2071389855103694,0.9928634513624782,0.7433177113473766
Vanilla Pythia-PPI +CIR-DDG,all,0.40459261375602473,0.3769566704249704,1.025356539006617,0.8037005596316409,0.6911461255356274
Vanilla Pythia-PPI +CIR-DDG,single,0.4781468790197014,0.4354673158815937,0.8765524290750702,0.6746126126404802,0.6855384175092925
Vanilla Pythia-PPI +CIR-DDG,multi,0.35933402841324025,0.3377920925637435,1.20713898799796,0.992863452934571,0.7433177113473766
